feature,chi2,p_value,significant_at_0.05
service_segment,4.570838615254749,0.5999090286940567,False
signup_channel,6.195044480473873,0.28770027946607385,False
primary_device,10.842699251896622,0.012607591261973465,True
contract_type,322.77948769758416,8.115678059449483e-71,True
plan_tier,11.115189326746394,0.011119034260785384,True
has_family_plan,0.13488975913693335,0.7134150845668137,False
payment_method,5.910277214282907,0.31504748627325063,False
auto_pay,89.62935073076258,2.872311388501085e-21,True
uses_mobile_app,16.29571140839166,5.418644843105875e-05,True
competitor_offer_received,75.29156151784159,4.060915310764862e-18,True
discount_offered,1.6615463055994075,0.1973946740629912,False
